Time_s,gps_valid,gnss_east_m,gnss_north_m,fused_east_m,fused_north_m,pure_east_m,pure_north_m,err_fused_m,err_pure_m
23.5019,0,,,355.4531,161.7769,359.7227,162.3619,7.6084,6.4211
23.6019,0,,,356.9546,162.7612,361.2241,163.3461,7.7357,6.5170
23.7019,0,,,358.4980,163.7868,362.7676,164.3717,7.8673,6.6498
23.8019,0,,,360.0220,164.8119,364.2915,165.3968,8.0113,6.7848
23.9019,0,,,361.5454,165.7571,365.8149,166.3421,8.0945,6.8412
24.0019,0,,,363.0581,166.7443,367.3276,167.3293,8.2166,6.9414
24.1019,0,,,364.5864,167.7673,368.8560,168.3522,8.3561,7.0751
24.2019,0,,,366.1655,168.8481,370.4351,169.4331,8.5081,7.2583
24.3019,0,,,367.7339,169.8742,372.0039,170.4592,8.6252,7.3890
24.4019,0,,,369.2959,170.8497,373.5659,171.4347,8.7072,7.4708
24.5019,0,,,370.8184,171.8564,375.0884,172.4413,8.8382,7.5898
24.6019,0,,,372.2988,172.7853,376.5684,173.3703,8.9352,7.6403
24.7019,0,,,373.8237,173.7587,378.0938,174.3437,9.0388,7.7272
24.8019,0,,,375.2993,174.7481,379.5693,175.3331,9.1861,7.8401
24.9019,0,,,376.8506,175.8120,381.1206,176.3970,9.3433,8.0116
25.0019,0,,,378.3423,176.8071,382.6123,177.3921,9.4847,8.1280
25.1019,0,,,379.8506,177.8386,384.1211,178.4236,9.6439,8.2770
25.2019,0,,,381.2881,178.7965,385.5586,179.3815,9.7909,8.3712
25.3019,0,,,382.8101,179.8287,387.0806,180.4137,9.9418,8.5190
25.4019,0,,,384.3159,180.8506,388.5864,181.4355,10.0951,8.6611
25.5019,0,,,385.8418,181.8705,390.1123,182.4554,10.2341,8.7965
25.6019,0,,,387.3545,182.9005,391.6250,183.4855,10.3894,8.9453
25.7019,0,,,388.8804,183.9317,393.1509,184.5167,10.5373,9.0920
25.8019,0,,,390.4058,184.9537,394.6763,185.5387,10.6785,9.2302
25.9019,0,,,391.9209,185.9876,396.1914,186.5726,10.8354,9.3826
26.0019,0,,,393.4453,187.0320,397.7158,187.6170,10.9948,9.5429
26.1019,0,,,394.9487,188.0333,399.2188,188.6182,11.1335,9.6676
26.2019,0,,,396.4678,189.0495,400.7378,189.6345,11.2742,9.8026
26.3019,0,,,397.9937,190.0629,402.2637,190.6478,11.4084,9.9331
26.4019,0,,,399.5210,191.0795,403.7910,191.6645,11.5444,10.0665
